phase,k_max,width,seed,output_dim,mc_samples,measured_mse,mc_floor,debiased_mse,debiased_rms,signal_to_floor,empirical_output_rms,cumulant_config,runtime_seconds,final_train_loss
initial,2,64,0,128,2000000,5.6376796381844636e-05,2.941369130199947e-07,5.6082659468824644e-05,0.007488835655081813,190.66855259003918,2.339976071157387,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.062274932861328125,
initial,3,64,0,128,2000000,1.1108171455909171e-06,2.941369130199947e-07,8.166802325709225e-07,0.0009037036198726452,2.776530916115947,2.339976071157387,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.08632016181945801,
trained_to_zero,2,64,0,128,2000000,3.364496381244209e-09,2.718780455204051e-11,3.3373085766921682e-09,5.7769443278364456e-05,122.75020479510161,0.007392615455774029,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.005957841873168945,5.610094625891085e-05
trained_to_zero,3,64,0,128,2000000,3.980122045906107e-09,2.718780455204051e-11,3.952934241354066e-09,6.287236468715064e-05,145.3936537533844,0.007392615455774029,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.024743080139160156,5.610094625891085e-05
initial,2,64,1,128,2000000,4.07670614108891e-05,3.8787617775606426e-07,4.037918523313304e-05,0.006354461836625745,104.10328746337072,2.1848613743063803,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.005769252777099609,
initial,3,64,1,128,2000000,1.9591212991210138e-06,3.8787617775606426e-07,1.5712451213649496e-06,0.0012534931676578655,4.050893587883882,2.1848613743063803,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.02380990982055664,
trained_to_zero,2,64,1,128,2000000,7.1410390949558296e-09,1.745757659294659e-11,7.123581518362883e-09,8.440131230237409e-05,408.05099610681555,0.005931846143060495,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.00480198860168457,3.3822969340372e-05
trained_to_zero,3,64,1,128,2000000,9.753946522996008e-09,1.745757659294659e-11,9.736488946403061e-09,9.86736486930683e-05,557.7228256490599,0.005931846143060495,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.022151947021484375,3.3822969340372e-05
initial,2,64,2,128,2000000,2.6081973536417866e-05,2.486270429750483e-07,2.583334649344282e-05,0.005082651521936441,103.90400892969394,1.8424627850547752,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.004816770553588867,
initial,3,64,2,128,2000000,1.142637770878157e-06,2.486270429750483e-07,8.940107279031087e-07,0.0009455214053119627,3.5957903742306496,1.8424627850547752,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.022694826126098633,
trained_to_zero,2,64,2,128,2000000,1.2600955023237774e-09,1.1866411847805443e-11,1.248229090475972e-09,3.5330285740083845e-05,105.19010350267067,0.004896401690279797,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.004822969436645508,2.292865437339869e-05
trained_to_zero,3,64,2,128,2000000,1.3125865887514369e-09,1.1866411847805443e-11,1.3007201769036314e-09,3.606549842860391e-05,109.61360465035474,0.004896401690279797,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.02322101593017578,2.292865437339869e-05
initial,2,128,0,128,2000000,1.548233564508844e-05,3.310356111698897e-07,1.515130003391855e-05,0.0038924670883539337,45.769396169715414,2.0613647200012317,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.007210254669189453,
initial,3,128,0,128,2000000,1.0305533614745797e-06,3.310356111698897e-07,6.9951775030469e-07,0.0008363717775634769,2.1131193342993324,2.0613647200012317,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.037728071212768555,
trained_to_zero,2,128,0,128,2000000,5.159678486456529e-10,2.1293327187296018e-11,4.946745214583569e-10,2.2241279672230124e-05,23.23143382465323,0.006573906526574996,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.007082939147949219,4.137024394493719e-05
trained_to_zero,3,128,0,128,2000000,7.58589489474894e-10,2.1293327187296018e-11,7.372961622875981e-10,2.715319801216052e-05,34.62569075289851,0.006573906526574996,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.03683924674987793,4.137024394493719e-05
initial,2,128,1,128,2000000,2.05307840996555e-05,2.993602955920667e-07,2.0231423804063434e-05,0.004497935504658046,67.58218809227947,2.2489466392065007,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.0070209503173828125,
initial,3,128,1,128,2000000,7.454784409450528e-07,2.993602955920667e-07,4.4611814535298607e-07,0.0006679207627802762,1.4902381909754119,2.2489466392065007,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.0366368293762207,
trained_to_zero,2,128,1,128,2000000,1.869080367120489e-08,3.399053821208611e-11,1.8656813132992805e-08,0.00013658994521191083,548.8825453890269,0.008260733077513729,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.006964206695556641,6.893570497751853e-05
trained_to_zero,3,128,1,128,2000000,3.942327919452215e-08,3.399053821208611e-11,3.938928865631006e-08,0.00019846734909377426,1158.8309785075514,0.008260733077513729,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.03692317008972168,6.893570497751853e-05
initial,2,128,2,128,2000000,2.3836116422847325e-05,3.3850935605960213e-07,2.3497607066787724e-05,0.004847433038917374,69.41494125985234,2.373480503734849,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.008074045181274414,
initial,3,128,2,128,2000000,8.946169490085949e-07,3.3850935605960213e-07,5.561075929489927e-07,0.0007457262184937531,1.6428130655599296,2.373480503734849,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.05373120307922363,
trained_to_zero,2,128,2,128,2000000,7.64678831553415e-10,2.765424507420614e-11,7.370245864792089e-10,2.7148196744520783e-05,26.651408653590458,0.007560134086054651,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.00689697265625,5.36421893992663e-05
trained_to_zero,3,128,2,128,2000000,4.6488049980737746e-10,2.765424507420614e-11,4.372262547331713e-10,2.0909955875925978e-05,15.81045707665996,0.007560134086054651,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.036161184310913086,5.36421893992663e-05
initial,2,256,0,128,2000000,7.334503356800745e-06,2.640818985408792e-07,7.070421458259865e-06,0.002659026411726643,26.77359371212405,2.2035608278185483,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.01712775230407715,
initial,3,256,0,128,2000000,3.1074247894555053e-07,2.640818985408792e-07,4.666058040467132e-08,0.00021601060252837435,0.1766898097237376,2.2035608278185483,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.12539124488830566,
trained_to_zero,2,256,0,128,2000000,2.057670917240709e-09,1.9826818348260137e-11,2.0378440988924487e-09,4.514248662726111e-05,102.78220454222681,0.0067974814846232644,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.01854991912841797,4.564796408728684e-05
trained_to_zero,3,256,0,128,2000000,1.301498282820305e-09,1.9826818348260137e-11,1.281671464472045e-09,3.580043944523649e-05,64.64332511446626,0.0067974814846232644,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.10960793495178223,4.564796408728684e-05
initial,2,256,1,128,2000000,7.987861938939673e-06,2.6402451262369144e-07,7.723837426315982e-06,0.0027791792720722394,29.25424366685454,2.4727258399713956,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.019433975219726562,
initial,3,256,1,128,2000000,3.1404520511895906e-07,2.6402451262369144e-07,5.002069249526762e-08,0.000223653062789821,0.1894547290257138,2.4727258399713956,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.13973116874694824,
trained_to_zero,2,256,1,128,2000000,9.627871971083477e-10,3.002379197008714e-11,9.327634051382605e-10,3.054117556902911e-05,31.06747495678019,0.0077862018896678285,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.018018007278442383,5.988404227855534e-05
trained_to_zero,3,256,1,128,2000000,1.9207866310696025e-09,3.002379197008714e-11,1.8907628390995155e-09,4.348290283662667e-05,62.97548427538042,0.0077862018896678285,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.10338115692138672,5.988404227855534e-05
initial,2,256,2,128,2000000,6.9497174653919466e-06,2.7376256947272733e-07,6.675954895919219e-06,0.0025837869292802025,24.385930146613006,2.3712123195097874,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.0158078670501709,
initial,3,256,2,128,2000000,4.454827963666437e-07,2.7376256947272733e-07,1.7172022689391636e-07,0.0004143913933637092,0.6272596988867151,2.3712123195097874,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1053018569946289,
trained_to_zero,2,256,2,128,2000000,1.218239028810196e-09,3.034445537457535e-11,1.1878945734356207e-09,3.446584647786299e-05,39.14700589521602,0.007967506980854668,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.016588926315307617,6.487016323186411e-05
trained_to_zero,3,256,2,128,2000000,1.7079767858332316e-09,3.034445537457535e-11,1.6776323304586563e-09,4.095891026942314e-05,55.286289035336935,0.007967506980854668,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.10444188117980957,6.487016323186411e-05
initial,2,512,0,128,2000000,4.623230427853762e-06,2.7089829993121203e-07,4.35233212792255e-06,0.002086224371423781,16.06629546596534,2.0583994919165267,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.040699005126953125,
initial,3,512,0,128,2000000,3.5788810640408813e-07,2.7089829993121203e-07,8.69898064728761e-08,0.00029494034392208216,0.32111610333089957,2.0583994919165267,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.4979839324951172,
trained_to_zero,2,512,0,128,2000000,4.6377896583686655e-10,2.1660444272853594e-11,4.42118521564013e-10,2.1026614600643942e-05,20.411332103566654,0.008780356914393782,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.10666203498840332,7.881177442990248e-05
trained_to_zero,3,512,0,128,2000000,3.8446383778581667e-10,2.1660444272853594e-11,3.628033935129631e-10,1.9047398602249154e-05,16.749582277389113,0.008780356914393782,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",1.4891607761383057,7.881177442990248e-05
initial,2,512,1,128,2000000,6.3384089335666916e-06,2.846644151626591e-07,6.053744518404032e-06,0.0024604358391155075,21.266249646781045,2.0406950937422983,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.060280799865722656,
initial,3,512,1,128,2000000,2.801783911755795e-07,2.846644151626591e-07,0.0,0.0,-0.015758991107182353,2.0406950937422983,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.6903800964355469,
trained_to_zero,2,512,1,128,2000000,4.473884804270646e-10,2.621776181457833e-11,4.2117071861248626e-10,2.052244426505981e-05,16.064327748156412,0.010369775622515587,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.039392948150634766,0.00010104425668235417
trained_to_zero,3,512,1,128,2000000,7.255785539844922e-10,2.621776181457833e-11,6.993607921699139e-10,2.6445430459153316e-05,26.675076122670237,0.010369775622515587,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.3661198616027832,0.00010104425668235417
